BI Reference,Year,Quarter,Data Subject Type,Data Type,Decision Taken,Incident Category,Incident Type,No. Data Subjects Affected,Sector,Time Taken to Report
BI1000,2024,Qtr 1,Customers or prospective customers,Health data,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Legal,Less than 24 hours
BI1000,2024,Qtr 1,Customers or prospective customers,Location data,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Legal,Less than 24 hours
BI1000,2024,Qtr 1,Customers or prospective customers,Identification data,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Legal,Less than 24 hours
BI1001,2024,Qtr 1,Users,Identification data,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,Less than 24 hours
BI1001,2024,Qtr 1,Users,Criminal offence data,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,Less than 24 hours
BI1002,2024,Qtr 1,Patients,Official documents,No Further Action,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1002,2024,Qtr 1,Patients,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1002,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1002,2024,Qtr 1,Patients,Identification data,No Further Action,Non Cyber,Not Provided,1 to 9,Charitable and voluntary,72 hours to 1 week
BI1003,2024,Qtr 1,Subscribers,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Education and childcare,Less than 24 hours
BI1003,2024,Qtr 1,Subscribers,Location data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Education and childcare,Less than 24 hours
BI1003,2024,Qtr 1,Subscribers,Economic and financial data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Education and childcare,Less than 24 hours
BI1004,2024,Qtr 1,Service users,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,Local government,Less than 24 hours
BI1005,2024,Qtr 1,Children,Health data,No Further Action,Non Cyber,Failure to redact,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
